name,seasonal,style,keys,desc,abv,ibu,location,location_id
Oktoberfest Marzen,0,Marzen,"Marzen, Hellbent Oktoberfest is a traditional Marzen-style lager brewed with Vienna and Munich malts. A step-infused mash highlights the malty character, and Mt. Hood hops add a noble hop flavor and aroma. This beer was lagered for 3.5 weeks to give it a smooth and refined flavor.","Hellbent Oktoberfest is a traditional Marzen-style lager brewed with Vienna and Munich malts. A step-infused mash highlights the malty character, and Mt. Hood hops add a noble hop flavor and aroma. This beer was lagered for 3.5 weeks to give it a smooth and refined flavor.",5,,Hellbent Brewing,1
Seattle Sunshine Hazy Pale ,0,Pale Ale,"Pale Ale, The newest Emerald City Supporters beer is a hazy pale ale that’s light in color and malty with soft bready notes. It’s really all about the hops, and contains no bittering additions. The first hops that touch the wort--Mosaic, Citra, and Simcoe--are added in the whirlpool, forming citrus, tropical, and stone fruit hop flavors. Then we kick the hop party up a notch by dry hopping at the end of fermentation with Azacca, Citra, Amarillo, Mosaic, and Simcoe, which creates a sublime hop burst of citrus and tropical fruit aromas that will blow your boots off.","The newest Emerald City Supporters beer is a hazy pale ale that’s light in color and malty with soft bready notes. It’s really all about the hops, and contains no bittering additions. The first hops that touch the wort--Mosaic, Citra, and Simcoe--are added in the whirlpool, forming citrus, tropical, and stone fruit hop flavors. Then we kick the hop party up a notch by dry hopping at the end of fermentation with Azacca, Citra, Amarillo, Mosaic, and Simcoe, which creates a sublime hop burst of citrus and tropical fruit aromas that will blow your boots off.",5.7,34,Hellbent Brewing,1
Steven's Summer Pale,3,Pale Ale,"Pale Ale, Steven’s Summer Pale Ale is a light bodied golden ale hopped with “noble” Northwest hop varieties. Most of these hops are German noble hop hybrids that exhibit more floral, spicy, and grassy aromas than those typically found in pale ales. We chose Sterling, Crystal, Mt Hood, Liberty, and Ahtanum hops for this brew. We hope you enjoy this mellow summer beer and its surprising atypical hoppyness.","Steven’s Summer Pale Ale is a light bodied golden ale hopped with “noble” Northwest hop varieties. Most of these hops are German noble hop hybrids that exhibit more floral, spicy, and grassy aromas than those typically found in pale ales. We chose Sterling, Crystal, Mt Hood, Liberty, and Ahtanum hops for this brew. We hope you enjoy this mellow summer beer and its surprising atypical hoppyness.",5,30,Hellbent Brewing,1
Northwest Pilsner ,0,Pilsner,"Pilsner, Hellbent Brewing’s Northwest Pilsner is light lager brewed with North American Malts and hopped with northwest hops. The hops used are Mt. Hood and Meridian. This beer finishes with a bit more hops than a “usual” pilsner, but it still has a crisp, dry finish and slight bready malt flavor typical of the style","Hellbent Brewing’s Northwest Pilsner is light lager brewed with North American Malts and hopped with northwest hops. The hops used are Mt. Hood and Meridian. This beer finishes with a bit more hops than a “usual” pilsner, but it still has a crisp, dry finish and slight bready malt flavor typical of the style",5.2,35,Hellbent Brewing,1
Moon Tower Stout,3,Stout,"Stout, A summer stout, medium bodied and smooth with a mild roasted coffee and toasted caramel notes and a dry finish. A perfect dark beer for a warm summer day.","A summer stout, medium bodied and smooth with a mild roasted coffee and toasted caramel notes and a dry finish. A perfect dark beer for a warm summer day.",6.4,28,Hellbent Brewing,1
Organic Gateway Amber,0,Amber,"Amber, ",,5.2,20,Elliot Bay Brewing,2
Organic B-Town Brown,0,Amber,"Amber, B-Town, Burien’s nickname, is an easy-drinking deep amber ale whose middle name is ‘quaffable’.","B-Town, Burien’s nickname, is an easy-drinking deep amber ale whose middle name is ‘quaffable’.",5.2,19,Elliot Bay Brewing,2
Organic Lake City Way ,0,IPA,"IPA, Slightly sweeter than EBBC Dry-Hopped IPA with a bit more lingering bitterness.",Slightly sweeter than EBBC Dry-Hopped IPA with a bit more lingering bitterness.,6,75,Elliot Bay Brewing,2
Organic Hop Von Boorian,0,IPA,"IPA, A reinterpretation of Belgian Brewers riffing on the hoppy ales of their North-American brethren.",A reinterpretation of Belgian Brewers riffing on the hoppy ales of their North-American brethren.,6.2,62,Elliot Bay Brewing,2
Organic Highline ,0,IPA,"IPA, ",,6,54,Elliot Bay Brewing,2
Organic Hellmouth,0,IPA,"IPA, One of our “Imperial-style” ales that delights by turning up the hops without palate-crushing bitterness.",One of our “Imperial-style” ales that delights by turning up the hops without palate-crushing bitterness.,7.2,67,Elliot Bay Brewing,2
Organic Elliot Bay Dry-Hopped        0,0,IPA,"IPA, Think stone fruit, like plums, then imagine a playful dance of aromatic hops atop a light + hazy ale.","Think stone fruit, like plums, then imagine a playful dance of aromatic hops atop a light + hazy ale.",6,95,Elliot Bay Brewing,2
Organic Demolition Ale,0,IPA,"IPA, Demo won bronze at GABF for the balance it strikes between malt depth and hoppy goodness.",Demo won bronze at GABF for the balance it strikes between malt depth and hoppy goodness.,7.2,90,Elliot Bay Brewing,2
Organic Alembic ,0,Pale Ale,"Pale Ale, ",,5.2,41,Elliot Bay Brewing,2
Luna Weizen,0,Pale Ale,"Pale Ale, A slightly hazy refreshing straw-colored wheat ale with a hint of citrus from imported German malt.",A slightly hazy refreshing straw-colored wheat ale with a hint of citrus from imported German malt.,4.5,18,Elliot Bay Brewing,2
Lucienne,0,Ale,"Ale, Sour blended ale in the style of a Flemish Red; tart aroma, sweetsour and flavorful body.","Sour blended ale in the style of a Flemish Red; tart aroma, sweetsour and flavorful body.",6.2,,Lantern Brewing,3
Charmeuse,0,Belgian,"Belgian, Cranberry Wheat, Belgian style: gently sweet, slightly tart, and beautifully refreshing.","Cranberry Wheat, Belgian style: gently sweet, slightly tart, and beautifully refreshing.",4.5,,Lantern Brewing,3
Joliefolie,0,Blonde,"Blonde, Dry hopped abbey style Blonde ale, with a bright finish from citrusy and juicy hops.","Dry hopped abbey style Blonde ale, with a bright finish from citrusy and juicy hops.",6.3,,Lantern Brewing,3
Dubbel,0,Brown Ale,"Brown Ale, Abbey style brown ale; deep, dark & complex. ","Abbey style brown ale; deep, dark & complex. ",7.3,,Lantern Brewing,3
Veldfest,0,Field Ale,"Field Ale, Barrel aged field ale brewed with locally grown squash and pumpkin, and no spice!","Barrel aged field ale brewed with locally grown squash and pumpkin, and no spice!",5.8,,Lantern Brewing,3
Etoile Verte,0,Fresh Hop Ale,"Fresh Hop Ale, Fresh Hop beer brewed with Ekuanot variety hop; very aromatic with melon, berry, and citrus flavors.","Fresh Hop beer brewed with Ekuanot variety hop; very aromatic with melon, berry, and citrus flavors.",4.9,,Lantern Brewing,3
Prunette,0,Saison,"Saison, Lightly tart and funky saison, oak-aged for 1 year with whole, fresh plums.","Lightly tart and funky saison, oak-aged for 1 year with whole, fresh plums.",6,,Lantern Brewing,3
Hop Hoy Wallonia,0,Saison,"Saison, Barrel-hopped summer saison; lightly hoppy, a touch of oak, dry finish.","Barrel-hopped summer saison; lightly hoppy, a touch of oak, dry finish.",6.3,,Lantern Brewing,3
Oneux,0,Stout,"Stout, Dark caramel malts and roasted barley shine deeply in this delicious stout.",Dark caramel malts and roasted barley shine deeply in this delicious stout.,6.9,,Lantern Brewing,3
Witbier,0,Witbier,"Witbier, Traditional wit (white) brewed with oats, wheat & barley with a citrusy finish.","Traditional wit (white) brewed with oats, wheat & barley with a citrusy finish.",4.5,,Lantern Brewing,3
Dark Room,0,IPA,"IPA, Black / Cascadian Dark Ale",Black / Cascadian Dark Ale,8.3,78,Snapshot Brewing,4
Out of Focus,0,IPA,"IPA, IPA - American",IPA - American,8.1,102,Snapshot Brewing,4
Red Eye Raspberry Wheat,0,Pale,"Pale, Wheat Beer - American Pale Wheat",Wheat Beer - American Pale Wheat,4.9,23,Snapshot Brewing,4
#quadgoals,0,Belgian,"Belgian, Whiskey barrel aged Belgian quad",Whiskey barrel aged Belgian quad,11,,Magnusun Café & Brewing,5
Breakfast At Tiffanys,0,Fruit,"Fruit, Mimosa inspired beer brewed with tangerine and champagne yeast",Mimosa inspired beer brewed with tangerine and champagne yeast,5.1,,Magnusun Café & Brewing,5
Surprisin' Weizen,0,Hefeweizen,"Hefeweizen, ",,4.8,,Magnusun Café & Brewing,5
Post Coastal IPA,0,IPA,"IPA, American Two row, flaked oats, acidulated malt, Centennial hops, ekuanit hops, simcoe hops, mosaic hops, Ale yeast.","American Two row, flaked oats, acidulated malt, Centennial hops, ekuanit hops, simcoe hops, mosaic hops, Ale yeast.",6.2,70,Magnusun Café & Brewing,5
Strawberry Fields,0,IPA,"IPA, Strawberry double IPA",Strawberry double IPA,7.8,,Magnusun Café & Brewing,5
Night Ships IPA,0,IPA,"IPA, Summer IPA - fruity, summery, refreshing. Pale malt, vienna malt, flaked oats, amarillo hops, mosaic hops, ale yeast.","Summer IPA - fruity, summery, refreshing. Pale malt, vienna malt, flaked oats, amarillo hops, mosaic hops, ale yeast.",6,,Magnusun Café & Brewing,5
Hazed & Confused,0,IPA,"IPA, New England Hazy IPA made with Amarillo, Azacca, Idaho7, and Sultana hops.","New England Hazy IPA made with Amarillo, Azacca, Idaho7, and Sultana hops.",6.7,,Magnusun Café & Brewing,5
School Daze,0,IPA,"IPA, Hazy IPA made with Kohatu, Sultana, and Azacca hops. New England","Hazy IPA made with Kohatu, Sultana, and Azacca hops. New England",6,,Magnusun Café & Brewing,5
Cerveza Chukis,0,Lager,"Lager, Vienna",Vienna,5,,Magnusun Café & Brewing,5
River Pig Pale,0,Pale Ale,"Pale Ale, American",American,5.8,,Magnusun Café & Brewing,5
Creamsicle Pale,0,Pale Ale,"Pale Ale, American Tangerine and vanilla combine with Azacca and Mandarina Bavaria hops to make a beer full of nostalgia",American Tangerine and vanilla combine with Azacca and Mandarina Bavaria hops to make a beer full of nostalgia,5.1,,Magnusun Café & Brewing,5
Sand Point Pilsner,0,Pilsner,"Pilsner, none",none,5.5,,Magnusun Café & Brewing,5
Dry Hopped Pilsner,0,Pilsner,"Pilsner, Crisp, floral, citrus | Pilsner malt, cara-pilsner, acidulated malt, Polaris hops, Mandarina Bavaria hops, lager yeast, dry hopped with Loral and Mandarina Bavaria hops.","Crisp, floral, citrus | Pilsner malt, cara-pilsner, acidulated malt, Polaris hops, Mandarina Bavaria hops, lager yeast, dry hopped with Loral and Mandarina Bavaria hops.",5.5.,,Magnusun Café & Brewing,5
Lemondrop Pilsner,0,Pilsner,"Pilsner, Kellerbier / Zwickelbier",Kellerbier / Zwickelbier,5,,Magnusun Café & Brewing,5
N.I.B.,0,Sour,"Sour, N.I.B. is a black Berliner Weisse, brewed with raspberry and hibiscus.","N.I.B. is a black Berliner Weisse, brewed with raspberry and hibiscus.",4.7,,Magnusun Café & Brewing,5
Blackened,0,Sour,"Sour, Berliner Weisse",Berliner Weisse,4.2,,Magnusun Café & Brewing,5
Rain Shadow Stout,0,Stout,"Stout, American",American,6.9,,Magnusun Café & Brewing,5
Sweater Weather,0,Stout,"Stout, Coffee Rain Shadow Stout aged on Ladro espresso beans and Venezuelan cacao.",Coffee Rain Shadow Stout aged on Ladro espresso beans and Venezuelan cacao.,6.9,,Magnusun Café & Brewing,5
Triple R Mosaic Session Pale,0,Mosaic Pale,"Mosaic Pale, A moderate, refreshing ale with noticeable hop aroma balanced by supporting malt flavors.","A moderate, refreshing ale with noticeable hop aroma balanced by supporting malt flavors.",5,,Triple R Brewery,6
Triple R Roasty Scotch Ale,0,Scotch Ale,"Scotch Ale, A very dark Scottish-style ale centered around malt flavors with distinct caramel notes.",A very dark Scottish-style ale centered around malt flavors with distinct caramel notes.,7,,Triple R Brewery,6
"Soho, London Pub Ale",0,Ale,"Ale, Malt forward and full bodied. Biscuit malt and East Kent Goldings in a quintessentially British ale.",Malt forward and full bodied. Biscuit malt and East Kent Goldings in a quintessentially British ale.,5,,Ravenna Brewing Company,7
Pool Party Pineapple Sour Ale,0,Ale,"Ale, A funky pineapple sour  from the depths of our house foeder. Big, punchy pineapple front-end and a yeast-driven, tart backbone.","A funky pineapple sour  from the depths of our house foeder. Big, punchy pineapple front-end and a yeast-driven, tart backbone.",,,Ravenna Brewing Company,7
Cloven Hoof,0,Ale,"Ale, A traditional Belgian style golden strong ale hopped with Perle & fermented with a famous Trappist brewery’s yeast strain. Complex aromas of fruity esters, moderate spiciness, and delicate alcohol notes akin to perfume, with a hint of mint supporting. Flavors reminiscent of peach and golden plum on the palate with peppery phenols entering midway. Finish is semi-dry with smooth & spicy alcohol warmth and a hint of bubble gum.","A traditional Belgian style golden strong ale hopped with Perle & fermented with a famous Trappist brewery’s yeast strain. Complex aromas of fruity esters, moderate spiciness, and delicate alcohol notes akin to perfume, with a hint of mint supporting. Flavors reminiscent of peach and golden plum on the palate with peppery phenols entering midway. Finish is semi-dry with smooth & spicy alcohol warmth and a hint of bubble gum.",9.5,,Best Of Hands Barrel House,7
Mild Animals ,0,Ale,"Ale, Notes of toasted biscuit & light roast coffee on the nose with a hint of plum-like dark fruit in the background. Light body and low carbonation make this a classic quencher. Semi-sweet on the palate with flavors of toast and baker’s chocolate. Finishes with a dry and mineral-like tang with lingering notes of fruit-leather.",Notes of toasted biscuit & light roast coffee on the nose with a hint of plum-like dark fruit in the background. Light body and low carbonation make this a classic quencher. Semi-sweet on the palate with flavors of toast and baker’s chocolate. Finishes with a dry and mineral-like tang with lingering notes of fruit-leather.,4,,Best Of Hands Barrel House,7
Goza Butler ,0,Ale,"Ale, Gose style tart wheat ale with sea salt, coriander, & pink peppercorns. Light stone ground cracker malt aromas with mineral undertones and fruity-floral peppercorn notes on the nose. Bready notes on the palate accompanied by the floral-nutty flavors of the coriander. Sea salt salinity emerges mid-palate to balance the malts with a mineral crispness and a savory zing. Finishes with a pleasant tartness akin to fresh squeezed lemon juice with notes of cereal grains and a flourish of peppercorn spice.","Gose style tart wheat ale with sea salt, coriander, & pink peppercorns. Light stone ground cracker malt aromas with mineral undertones and fruity-floral peppercorn notes on the nose. Bready notes on the palate accompanied by the floral-nutty flavors of the coriander. Sea salt salinity emerges mid-palate to balance the malts with a mineral crispness and a savory zing. Finishes with a pleasant tartness akin to fresh squeezed lemon juice with notes of cereal grains and a flourish of peppercorn spice.",4.5,,Best Of Hands Barrel House,7
Green River,0,American IPA,"American IPA, The Green River is one of three major tributaries that make up the Duwamish which is Seattle’s largest river and lies just to the east of us in the heart of South Park, flowing north to Elliott Bay from the Cascade Mountains. It’s also the name of the great Seattle band from the mid 1980s comprised of Stone Gossard, Steve Turner, Alex Vincent, Jeff Ament, and Mark Arm, most of whom went on to form bands you’ve probably heard of.","The Green River is one of three major tributaries that make up the Duwamish which is Seattle’s largest river and lies just to the east of us in the heart of South Park, flowing north to Elliott Bay from the Cascade Mountains. It’s also the name of the great Seattle band from the mid 1980s comprised of Stone Gossard, Steve Turner, Alex Vincent, Jeff Ament, and Mark Arm, most of whom went on to form bands you’ve probably heard of.",6,,Future Primitive Brewing,7
Momece,0,Belgian Pale Ale,"Belgian Pale Ale, Made in the slow, patient style of Achel Blond this beer inspires imperturbability, thoughtfulness, and virtue.","Made in the slow, patient style of Achel Blond this beer inspires imperturbability, thoughtfulness, and virtue.",7.1,,Future Primitive Brewing,7
Sunshine on My Porter,0,Coffee Porter,"Coffee Porter, Features: Middlefork Coffee",Features: Middlefork Coffee,4.5,,Future Primitive Brewing,7
Purple Paw Blackberry Mimosa,0,Hard Seltzer,"Hard Seltzer, We thought, why not? Our unique approach to the hard seltzer craze, this was fermented with a blend of white wine and champagne yeasts, and contains only real fruit puree for flavor. Not natural/artificial flavors or extracts. Dry as a bone crisp, and just a touch of yeast character and aroma give this seltzer a distinctive ""mimosa"" vibe. We think you'll dig.","We thought, why not? Our unique approach to the hard seltzer craze, this was fermented with a blend of white wine and champagne yeasts, and contains only real fruit puree for flavor. Not natural/artificial flavors or extracts. Dry as a bone crisp, and just a touch of yeast character and aroma give this seltzer a distinctive ""mimosa"" vibe. We think you'll dig.",5,,Ravenna Brewing Company,7
Beautiful Terror,0,Imperial Stout,"Imperial Stout, Be not afraid, though dark times leer. There is terror, and beauty, in this here beer. Black as the void, suppositions destroyed. Dive into the darkness, your future enjoyed.","Be not afraid, though dark times leer. There is terror, and beauty, in this here beer. Black as the void, suppositions destroyed. Dive into the darkness, your future enjoyed.",8.5,,Future Primitive Brewing,7
Doomsday Song ,0,Imperial Stout,"Imperial Stout, Complex notes of roasted grains on the nose reminiscent of baker’s chocolate and espresso with plum-like esters supporting. Intense flavors of bittersweet chocolate, dark fruits, and medium roast coffee. Full bodied and tarry with a lingering bittersweet finish akin to pine needles & charcoal.","Complex notes of roasted grains on the nose reminiscent of baker’s chocolate and espresso with plum-like esters supporting. Intense flavors of bittersweet chocolate, dark fruits, and medium roast coffee. Full bodied and tarry with a lingering bittersweet finish akin to pine needles & charcoal.",8,,Best Of Hands Barrel House,7
Every Storm Runs Out of Rain Westcoast,0,IPA,"IPA, Our first west coast IPA in months, this banger utilizes a heavy dose of cryo mosaic and is clear, crisp, and refreshing. We think you'll love it.","Our first west coast IPA in months, this banger utilizes a heavy dose of cryo mosaic and is clear, crisp, and refreshing. We think you'll love it.",,,Ravenna Brewing Company,7
"Ella, Ella, Ella, Ay Ay IP-AY",0,IPA,"IPA, A juice-bomb hazy IPA, with a heavy dry-hop of Ella hops. Tastes like mango juice.","A juice-bomb hazy IPA, with a heavy dry-hop of Ella hops. Tastes like mango juice.",,,Ravenna Brewing Company,7
Sun Daze Session IPA,0,IPA,"IPA, A hazy session IPA, dry hopped with Citra and boy does that citrus shine through. Smooth with a little bite.","A hazy session IPA, dry hopped with Citra and boy does that citrus shine through. Smooth with a little bite.",,,Ravenna Brewing Company,7
Airport Rules West Coast IPA,0,IPA,"IPA, Another entry into the West Coast IPA resurgence. Dry-hopped with Strata and Mosaic with 4 lbs per barrel. Very dank with back-end notes papaya and melon. Huge aroma for a west coaster.",Another entry into the West Coast IPA resurgence. Dry-hopped with Strata and Mosaic with 4 lbs per barrel. Very dank with back-end notes papaya and melon. Huge aroma for a west coaster.,6.8,,Ravenna Brewing Company,7
And the Devil Walks ,0,IPA,"IPA, Chock full of our favorite hops. The beer opens with subtle pineapple, melon and citrus and finishes with that classic clean Citra hop kick. Perfectly balanced at 6.66% This beer drinks as fast and ripping as the splatterrock kings themselves. Take a walk with the devil.","Chock full of our favorite hops. The beer opens with subtle pineapple, melon and citrus and finishes with that classic clean Citra hop kick. Perfectly balanced at 6.66% This beer drinks as fast and ripping as the splatterrock kings themselves. Take a walk with the devil.",6.66,,Future Primitive Brewing,7
Seattle-Lite IPA,0,IPA,"IPA, A perfect description of a perfect beer. We make sure you know the basics here. SRM – 5.9 | Malt – Copeland Ale & Crystal. Both Skagit Valley | Hops – Nugget, Perle, Chinook and Citra | Dry Hops – Chinook & Citra | Original Gravity – 1.047","A perfect description of a perfect beer. We make sure you know the basics here. SRM – 5.9 | Malt – Copeland Ale & Crystal. Both Skagit Valley | Hops – Nugget, Perle, Chinook and Citra | Dry Hops – Chinook & Citra | Original Gravity – 1.047",4.9,54,Seattle-Lite Brewing Company,7
The People's Champion ,0,IPA,"IPA, An Azacca & Amarillo hopped  a New England IPA. Very pale & hazy with aromas of tangerine, satsuma oranges, & earthy-graininess. Flavors of mango & citrus fruits on the palate with a hoppy spiciness which melds into notes of juicy peaches. Some pungent pine needle and pitch on the crisp, dry finish.","An Azacca & Amarillo hopped  a New England IPA. Very pale & hazy with aromas of tangerine, satsuma oranges, & earthy-graininess. Flavors of mango & citrus fruits on the palate with a hoppy spiciness which melds into notes of juicy peaches. Some pungent pine needle and pitch on the crisp, dry finish.",6.4,,Best Of Hands Barrel House,7
Spirit Journey Formation Anniversary ,0,IPA,"IPA, We added 4# whole beans of Olympia Coffee's Sweetheart Yirgacheffe Reserve to our Abaculus NEIPA for a delectable coffee IPA! Sweetheart's complex flavors of light roast coffee, citrus, berries, and faint molasses augment everything you love about our tropical, dank, & resinous Mosaic heavy NEIPA.","We added 4# whole beans of Olympia Coffee's Sweetheart Yirgacheffe Reserve to our Abaculus NEIPA for a delectable coffee IPA! Sweetheart's complex flavors of light roast coffee, citrus, berries, and faint molasses augment everything you love about our tropical, dank, & resinous Mosaic heavy NEIPA.",7.5,,Best Of Hands Barrel House,7
Hidden Track ,0,IPA,"IPA, Hazy New England IPA featuring Enigma & Vic Secret hops for notes of raspberries and pineapple juice on the nose with dankness, light vinous qualities, & underlying hints of perfume. Generous body and slight nuttiness provided by additions of flaked, & malted wheat. Guava and lychee on the palate meld into flavors of raspberry and herbal-spiciness on the palate. Complex sticky, bittersweet finish heralding impressions of grapefruit pith, currants, and resin.","Hazy New England IPA featuring Enigma & Vic Secret hops for notes of raspberries and pineapple juice on the nose with dankness, light vinous qualities, & underlying hints of perfume. Generous body and slight nuttiness provided by additions of flaked, & malted wheat. Guava and lychee on the palate meld into flavors of raspberry and herbal-spiciness on the palate. Complex sticky, bittersweet finish heralding impressions of grapefruit pith, currants, and resin.",7.5,,Best Of Hands Barrel House,7
Shimmer Factory ,0,IPA,"IPA, West Coast style IPA featuring HBC472, & Idaho7 hops for notes of lush pineapple and peaches with underlying hints of cedar, bell pepper, & blackberry on the nose. Juicy and clean body with flavors of nectarine, zesty orange, & pineapple, with underlying notes of earl grey tea. Floral, dank-herbal notes & grapefruit pith midway meld into notes of evergreen, bergamot orange, & menthol on the long, dry sticky-resinous finish.","West Coast style IPA featuring HBC472, & Idaho7 hops for notes of lush pineapple and peaches with underlying hints of cedar, bell pepper, & blackberry on the nose. Juicy and clean body with flavors of nectarine, zesty orange, & pineapple, with underlying notes of earl grey tea. Floral, dank-herbal notes & grapefruit pith midway meld into notes of evergreen, bergamot orange, & menthol on the long, dry sticky-resinous finish.",6.5,,Best Of Hands Barrel House,7
1889 Smoked Lager,0,Lager,"Lager, All german malts, all german hops, 15 weeks from grain to glass","All german malts, all german hops, 15 weeks from grain to glass",5.8,,Future Primitive Brewing,7
Zwick'l Lager ,0,Lager,"Lager, franconian-style unfiltered lager ",franconian-style unfiltered lager ,5.3,,Future Primitive Brewing,7
Jewel of the Puget Lager,0,Lager,"Lager, A light American Lager with more flavor than your Micro Lagers. Malt – Skagit Valley | Hops – Hallertauer Mittelfrüh",A light American Lager with more flavor than your Micro Lagers. Malt – Skagit Valley | Hops – Hallertauer Mittelfrüh,4.2,11,Seattle-Lite Brewing Company,7
Taylor Made ,0,Oyster Stout,"Oyster Stout, Dearest neighbors, we love oysters, you love oysters, and you proved it by showing up enmasse on a Saturday monring, helping us eat over 900 of them! Grown by our friends at Taylor Shellfish. After you brought you sehlls into the brewhouse and judicisously tossed them into an awaiting brew kettle that was already teeming with many dozens more whole bivalves. Throughout the boil the live oysters opened up to release their treasured brine while the shells offered up essential minerality. The result is a silky smooth, dry irish stout with a touch of salinity. Thank you, good neighbors, this is your beer!","Dearest neighbors, we love oysters, you love oysters, and you proved it by showing up enmasse on a Saturday monring, helping us eat over 900 of them! Grown by our friends at Taylor Shellfish. After you brought you sehlls into the brewhouse and judicisously tossed them into an awaiting brew kettle that was already teeming with many dozens more whole bivalves. Throughout the boil the live oysters opened up to release their treasured brine while the shells offered up essential minerality. The result is a silky smooth, dry irish stout with a touch of salinity. Thank you, good neighbors, this is your beer!",4.2,,Future Primitive Brewing,7
